,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
81,三民區,房地(土地+建物)+車位,高雄市三民區明哲路31~60號,20.74,住,0,0,1081218,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821126,185.13,3,2,2,有,有,8150000,44023,坡道平面,0.0,1000000,0,RPRNMLLJKHPFFDE87CA
82,三民區,房地(土地+建物),高雄市三民區民族一路61~90號,3.86,商,0,0,1081228,土地1建物1車位0,十一層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,69.86,2,2,1,有,有,3080000,44088,0,0.0,0,0,RPRNMLQJKHPFFDE38CA
83,新興區,房地(土地+建物)+車位,高雄市新興區七賢二路31~60號,10.15,商,0,0,1081211,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060424,177.13,2,2,2,有,有,11380000,64247,坡道平面,37.25,0,0,RPSOMLTKKHPFFBE78CA
84,苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,5.77,商,0,0,1081219,土地1建物1車位0,八層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,135.62,3,2,2,有,有,4600000,33918,0,0.0,0,0,RPPNMLKKKHPFFBE47CA
85,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街181~210號,31.45,住,0,0,1081223,土地1建物1車位2,十四層，夾層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930224,271.97,4,3,3,有,有,17000000,62507,坡道平面,43.36,0,0,RPQNMLMKKHPFFAE67CA
86,鼓山區,房地(土地+建物),高雄市鼓山區裕國街151~180號,9.99,住,0,0,1081217,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940909,84.28,2,2,1,有,有,5600000,66445,0,0.0,0,0,RPWOMLKMJHPFFAE28CA
87,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南二路31~60號,17.1,住,0,0,1081213,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971021,128.11,3,2,2,有,有,7200000,56202,坡道機械,7.13,0,0,RPWNMLQJKHPFFAE58CA
88,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路511~540號,26.77,住,0,0,1081231,土地1建物1車位2,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020301,334.94,3,2,3,有,有,28880000,82819,坡道平面,33.32,3900000,含裝潢,RPSOMLLKKHPFFAE87CA
89,鼓山區,房地(土地+建物)+車位,高雄市鼓山區文忠路61~90號,10.06,商,0,0,1090102,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030925,120.38999999999999,2,2,1,有,無,7420000,61633,坡道機械,18.43,0,0,RPTOMLLKKHPFFAE97CA
90,鼓山區,房地(土地+建物)+車位,高雄市鼓山區明華路331~360號,18.91,住,0,0,1081231,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,168.76999999999998,4,2,2,有,有,11560000,68496,坡道平面,0.0,0,0,RPPOMLPJKHPFFAE87CA
91,苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路199巷3弄1~30號,24.49,商,0,0,1081229,土地1建物2車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851221,167.37,4,2,2,有,無,7850000,46902,坡道平面,23.14,0,0,RPTNMLMKKHPFFBE08CA
92,苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路199巷3弄1~30號,24.49,商,0,0,1081224,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851221,167.37,3,2,3,有,有,7960000,47559,坡道平面,23.14,0,0,RPUPMLNKKHPFFBE48CA
93,前鎮區,房地(土地+建物),高雄市前鎮區瑞華街31~60號,17.79,住,0,0,1081224,土地2建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870413,105.22999999999999,3,2,2,有,有,3500000,33260,0,0.0,0,0,RPTOMLKMJHPFFCE18CA
94,小港區,房地(土地+建物),高雄市小港區華山路211~240號,13.86,商,0,0,1081215,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950510,115.21000000000001,3,2,2,有,有,4500000,39059,0,0.0,0,0,RPPOMLPJKHPFFCE08CA
95,左營區,房地(土地+建物)+車位,高雄市左營區辛亥路241~270號,14.81,其他,0,0,1081215,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011105,224.94,3,2,2,有,有,15100000,67129,坡道平面,22.88,0,0,RPUOMLRJKHPFFEE98CA
96,左營區,房地(土地+建物)+車位,高雄市左營區博愛二路571~600號,30.05,住,0,0,1081209,土地1建物1車位2,二十三層,29,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890703,499.22,5,2,5,有,有,30000000,60094,坡道平面,48.0,0,含增建或未登記建物。,RPXNMLNJKHPFFEE78CA
97,左營區,房地(土地+建物)+車位,高雄市左營區孟子路511~540號,15.78,住,0,0,1081216,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0930519,103.14,2,2,1,有,有,6550000,63506,坡道平面,0.0,0,0,RPXOMLRJKHPFFEE66CA
98,左營區,房地(土地+建物)+車位,高雄市左營區大中二路301~330號,11.36,住,0,0,1081102,土地1建物1車位1,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870811,169.52,3,2,2,有,有,7000000,41293,坡道平面,0.0,0,0,RPWPMLOKKHPFFEE09CA
99,苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維三路241~270號,23.49,商,0,0,1081227,土地1建物1車位2,九層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890905,431.40999999999997,5,3,4,有,有,26800000,62122,坡道平面,0.0,0,0,RPQNMLLLJHPFFBE97CD
